session_id,source_file,executable,count
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,cat,8
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,cd,6
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,chmod,1
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,echo,9
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,find,2
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,grep,1
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,head,3
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,ls,6
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,pwd,2
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,python3,19
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,rm,1
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,sed,2
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,sort,2
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,tail,3
session-vibe-01,logs\cases\step0-vibe\session-vibe-01.jsonl,true,2
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,apt-cache,2
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,apt-get,2
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,cat,5
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,cd,34
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,convert,10
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,du,5
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,echo,21
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,fc-list,2
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,find,8
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,google-chrome,2
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,grep,7
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,gs,4
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,head,12
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,identify,1
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,ls,18
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,pandoc,1
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,pdfinfo,1
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,pip,6
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,pwd,4
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,python,32
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,python3,66
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,rm,2
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,sed,39
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,sort,5
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,tail,16
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,tesseract,9
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,true,8
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,wc,4
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,which,10
session-vibe-02,logs\cases\step0-vibe\session-vibe-02.jsonl,xelatex,1
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,cat,12
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,cd,7
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,diff,1
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,echo,15
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,file,1
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,find,3
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,git,3
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,ls,4
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,pip,1
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,pwd,3
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,python,6
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,python3,5
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,sed,1
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,sort,2
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,tail,2
session-vibe-03,logs\cases\step0-vibe\session-vibe-03.jsonl,true,2
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,cat,9
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,cd,8
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,echo,14
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,exit,3
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,find,7
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,git,2
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,head,3
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,ls,4
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,mkdir,1
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,pip,1
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,pwd,2
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,python3,24
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,rm,5
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,sed,2
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,set,1
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,sort,5
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,tail,2
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,tee,3
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,true,2
session-vibe-04,logs\cases\step0-vibe\session-vibe-04.jsonl,wc,2
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,cat,5
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,cd,7
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,dpkg,1
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,echo,15
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,find,1
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,google-chrome,7
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,grep,6
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,head,13
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,kill,2
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,ls,7
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,mkdir,12
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,node,8
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,pip,1
session-vibe-05,logs\cases\step0-vibe\session-vibe-05.jsonl,pkill,10
